id;title;address;coordonnees
214;"Maison natale de Louis Braille";"Musée Louis Braille 13 Rue Louis Braille, 77700 Coupvray, France";48.89452,2.791914
215;"Villa Majorelle";"1 Rue Louis Majorelle, 54000 Nancy, France";48.685484,6.163871
216;"Appartement Gagnon dit ""maison du docteur Gagnon"", actuellement musée Stendhal";"Musée Stendhal 20 Grand Rue, 38000 Grenoble, France";45.191481,5.728083
217;"Musée national de la maison Bonaparte";"8 Rue Saint-Charles, 20000 Ajaccio, France";41.917798,8.738121
218;"Maison des Charmettes";"Musée des Charmettes 890 Chemin des charmettes, 73000 Chambéry, France";45.553211,5.929839
219;"Habitation Clément";"32 Rue Delgres, 97240 Le François, France";14.614591,-60.901225
220;"Habitation-sucrerie Clairefontaine";"14 Chem. Jude Plessis, 97123 Baillif, France";16.035244,-61.738576
221;"Maison Albert Schweitzer";"Maison Albert Schweitzer 8 Rue de Munster, 68140 Gunsbach, France";48.04623,7.172652
222;"Maison de Maurice Ravel, actuellement musée";"Maison-Musée Maurice Ravel 5 Rue Maurice Ravel, 78490 Montfort-l'Amaury, France";48.7761924,1.8054618
223;"Hauteville House, Maison d'exil de Victor Hugo";"38 Hauteville, 99132 Guernesey, Royaume-Uni";49.451352,-2.5376453
